,ATP,HTGD,ATGD,DiffFormPts,DiffPts,DiffLP,FTR
30,9,4.0,6.0,-2,-2,4.0,A
31,1,-3.0,-4.0,3,3,1.0,A
32,4,1.0,1.0,0,0,1.0,A
33,0,-1.0,-4.0,3,3,-10.0,H
34,9,1.0,6.0,-5,-5,1.0,A
35,9,-4.0,5.0,-8,-8,5.0,A
36,9,-4.0,6.0,-8,-8,5.0,A
37,0,6.0,-4.0,9,9,-19.0,H
38,1,-2.0,-3.0,2,2,-6.0,A
39,7,5.0,2.0,2,2,-13.0,D
40,6,-2.0,3.0,-2,-2,10.0,H
41,4,-6.0,-3.0,-3,-3,-5.0,D
42,6,2.0,1.0,1,1,2.0,D
43,6,-4.0,0.0,-2,-2,9.0,A
44,4,2.0,-2.0,3,3,2.0,D
45,5,5.0,0.0,2,2,-7.0,H
46,7,0.0,2.0,-2,-2,11.0,D
47,12,7.0,8.0,0,0,12.0,A
48,7,-3.0,5.0,-3,-3,3.0,A
49,4,-4.0,-3.0,-3,-3,-1.0,D
50,4,-7.0,-5.0,-4,-4,1.0,D
51,2,-2.0,-6.0,3,3,-1.0,A
52,11,1.0,5.0,-4,-4,1.0,D
53,8,3.0,2.0,3,3,7.0,A
54,7,0.0,-1.0,0,0,-4.0,D
55,3,5.0,-5.0,6,6,-7.0,H
56,7,-4.0,1.0,-3,-3,15.0,D
57,4,2.0,-3.0,4,4,-9.0,H
58,5,10.0,-4.0,10,10,-15.0,H
59,7,-5.0,0.0,-4,-4,1.0,A
60,5,4.0,-5.0,3,6,-4.0,A
61,11,-3.0,2.0,-5,-6,-8.0,H
62,15,-5.0,6.0,-8,-10,6.0,A
63,10,6.0,5.0,1,1,5.0,D
64,1,-1.0,-7.0,6,7,-6.0,A
65,5,2.0,-4.0,2,4,-7.0,H
66,5,-5.0,-5.0,1,0,-13.0,H
67,9,6.0,2.0,6,6,8.0,A
68,11,-4.0,4.0,-4,-6,10.0,A
69,5,-3.0,-3.0,0,0,10.0,D
70,12,-5.0,6.0,-4,-8,11.0,D
71,6,6.0,-4.0,5,7,-14.0,H
72,8,-5.0,-3.0,-2,-2,2.0,A
73,21,-1.0,13.0,-9,-11,2.0,A
74,3,1.0,-8.0,7,8,4.0,H
75,14,2.0,4.0,0,-1,2.0,H
76,14,13.0,4.0,2,7,-7.0,H
77,8,-1.0,-4.0,1,2,-3.0,H
78,5,-3.0,-4.0,2,3,-3.0,D
79,14,-5.0,5.0,-4,-10,18.0,A
80,3,4.0,-10.0,8,12,-6.0,H
81,13,-8.0,5.0,-6,-8,15.0,H
82,9,3.0,-2.0,5,7,3.0,H
83,6,-5.0,-6.0,1,0,2.0,A
84,12,3.0,5.0,-1,2,6.0,H
85,5,5.0,-6.0,3,11,1.0,D
86,14,5.0,3.0,0,-1,-11.0,H
87,16,-6.0,3.0,-9,-10,6.0,A
88,6,-2.0,-5.0,2,5,-12.0,H
89,10,-6.0,-3.0,-1,-5,9.0,H
90,18,7.0,6.0,-3,0,-3.0,D
91,19,-4.0,6.0,-1,-12,4.0,A
92,8,-1.0,-7.0,3,6,-11.0,H
93,27,-10.0,20.0,-14,-23,10.0,D
94,5,-3.0,-7.0,3,4,-13.0,H
95,12,6.0,-2.0,0,3,-5.0,H
96,4,-6.0,-10.0,1,2,7.0,A
97,14,6.0,-1.0,0,5,5.0,A
98,11,20.0,-3.0,8,16,-5.0,H
99,15,-1.0,6.0,-1,-2,-6.0,H
100,18,-3.0,4.0,-2,-6,12.0,H
101,7,-8.0,-5.0,2,-2,3.0,A
102,17,6.0,6.0,3,2,1.0,D
103,9,6.0,-4.0,11,13,-2.0,H
104,12,-9.0,-2.0,-6,-4,12.0,A
105,9,3.0,-7.0,2,8,-1.0,H
106,5,6.0,-8.0,3,12,-16.0,H
107,16,-7.0,1.0,-5,-7,13.0,A
108,19,-1.0,5.0,2,-5,-7.0,H
109,17,-4.0,3.0,-2,-8,-3.0,H
110,6,1.0,-9.0,9,9,-11.0,H
111,25,-2.0,8.0,-10,-15,7.0,A
112,8,5.0,-12.0,4,10,-10.0,H
113,15,-8.0,0.0,0,-5,-3.0,H
114,31,5.0,22.0,-3,-10,1.0,H
115,20,2.0,6.0,-2,0,3.0,H
116,21,2.0,5.0,-6,-2,11.0,A
117,15,22.0,1.0,3,16,-6.0,H
118,10,4.0,-2.0,7,9,-14.0,H
119,14,5.0,-3.0,0,6,9.0,D
120,9,-13.0,-11.0,-2,-4,4.0,A
121,10,-13.0,-12.0,-4,-2,8.0,H
122,23,7.0,9.0,2,2,6.0,A
123,12,-1.0,-4.0,0,3,2.0,H
124,19,5.0,5.0,1,1,-4.0,D
125,17,9.0,0.0,1,6,-2.0,H
126,19,-11.0,0.0,-1,-10,3.0,H
127,22,4.0,5.0,-3,-2,12.0,A
128,31,-4.0,21.0,-5,-21,16.0,A
129,6,-13.0,-10.0,1,-1,2.0,A
130,21,6.0,5.0,3,4,5.0,A
131,18,-11.0,-1.0,1,-5,4.0,H
132,23,-5.0,2.0,-2,-11,4.0,H
133,11,0.0,-9.0,1,7,-5.0,D
134,27,4.0,8.0,-3,-8,7.0,A
135,25,-15.0,7.0,-15,-20,17.0,A
136,13,0.0,-11.0,-3,5,-5.0,A
137,26,2.0,12.0,-4,-3,4.0,H
138,18,24.0,0.0,3,16,-13.0,H
139,25,7.0,6.0,6,0,-7.0,H
140,10,11.0,-9.0,9,20,-15.0,H
141,15,-2.0,-8.0,3,3,-9.0,D
142,5,6.0,-16.0,6,19,-15.0,H
143,15,-9.0,-4.0,-5,-3,7.0,D
144,21,-4.0,3.0,-4,-2,-2.0,A
145,22,-10.0,5.0,-4,-13,9.0,A
146,15,-10.0,-4.0,-6,-6,6.0,H
147,22,-3.0,5.0,0,-4,-3.0,H
148,15,4.0,-8.0,6,11,-8.0,D
149,5,-4.0,-16.0,0,14,-7.0,H
150,25,27.0,2.0,9,15,-9.0,H
151,19,12.0,-1.0,8,12,-11.0,H
152,26,-2.0,9.0,-2,-7,3.0,H
153,24,-9.0,6.0,-2,-11,4.0,H
154,17,11.0,-9.0,3,14,-9.0,D
155,10,7.0,-12.0,5,17,-12.0,H
156,22,-9.0,4.0,3,-5,2.0,A
157,25,11.0,2.0,10,6,-8.0,H
158,31,-8.0,11.0,-6,-15,14.0,A
159,27,-9.0,4.0,0,-10,3.0,A
160,21,-5.0,-4.0,0,-5,6.0,H
161,12,4.0,-12.0,-2,12,-3.0,H
162,16,-14.0,-7.0,-8,-6,-2.0,H
163,22,5.0,-1.0,0,3,2.0,A
164,22,-2.0,-5.0,-3,3,-3.0,H
165,43,7.0,28.0,-6,-17,3.0,A
166,30,-3.0,9.0,-6,-11,9.0,D
167,17,-8.0,-10.0,1,0,5.0,H
168,26,-5.0,7.0,-3,-4,9.0,A
169,16,28.0,-5.0,5,27,-11.0,H
170,25,16.0,1.0,8,12,-4.0,H
171,16,17.0,-8.0,5,21,-17.0,H
172,21,-3.0,-5.0,1,-1,8.0,A
173,25,-13.0,3.0,-3,-12,8.0,D
174,31,-21.0,8.0,-8,-26,12.0,D
175,12,9.0,-14.0,5,19,-13.0,H
176,27,1.0,7.0,-4,1,-5.0,H
177,13,8.0,-13.0,3,16,-13.0,H
178,37,-14.0,17.0,-7,-25,16.0,D
179,37,-14.0,16.0,-8,-20,8.0,A
180,20,-5.0,-6.0,-1,-1,-4.0,D
181,49,6.0,31.0,-9,-22,14.0,A
182,34,-11.0,11.0,-8,-18,14.0,H
183,31,3.0,2.0,1,-5,-1.0,A
184,32,-6.0,12.0,2,-12,12.0,D
