,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,DiffPts,DiffFormPts,DiffLP,HTGD,ATGD
0,D,0,0,M,M,M,M,M,M,14.0,16.0,3.0,13.0,2.0,6.0,7.0,8.0,0.0,2.0,0.0,0.0,0,0,8,0.0,0.0
1,A,0,0,M,M,M,M,M,M,15.0,14.0,10.0,12.0,5.0,5.0,8.0,6.0,3.0,1.0,0.0,0.0,0,0,9,0.0,0.0
2,D,0,0,M,M,M,M,M,M,12.0,13.0,15.0,7.0,7.0,4.0,6.0,6.0,1.0,2.0,0.0,0.0,0,0,-6,0.0,0.0
3,D,0,0,M,M,M,M,M,M,13.0,11.0,15.0,13.0,8.0,3.0,3.0,6.0,2.0,3.0,0.0,0.0,0,0,-4,0.0,0.0
4,D,0,0,M,M,M,M,M,M,17.0,11.0,4.0,16.0,2.0,7.0,5.0,0.0,2.0,3.0,1.0,0.0,0,0,11,0.0,0.0
5,A,0,0,M,M,M,M,M,M,13.0,23.0,11.0,11.0,7.0,6.0,7.0,2.0,0.0,2.0,0.0,0.0,0,0,12,0.0,0.0
6,A,0,0,M,M,M,M,M,M,15.0,17.0,12.0,14.0,8.0,4.0,5.0,5.0,2.0,0.0,0.0,1.0,0,0,7,0.0,0.0
7,H,0,0,M,M,M,M,M,M,11.0,14.0,13.0,11.0,5.0,5.0,2.0,6.0,0.0,1.0,0.0,1.0,0,0,3,0.0,0.0
8,H,0,0,M,M,M,M,M,M,15.0,17.0,15.0,2.0,12.0,1.0,8.0,3.0,0.0,1.0,0.0,1.0,0,0,-3,0.0,0.0
9,A,0,0,M,M,M,M,M,M,14.0,7.0,12.0,20.0,5.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,0,0,9,0.0,0.0
10,A,1,1,D,M,M,D,M,M,7.0,12.0,9.0,9.0,2.0,6.0,9.0,4.0,3.0,1.0,0.0,0.0,0,0,3,0.0,0.0
11,H,0,1,L,M,M,D,M,M,26.0,14.0,16.0,8.0,9.0,4.0,8.0,1.0,2.0,2.0,0.0,0.0,-1,-1,-6,-2.0,0.0
12,H,3,0,W,M,M,L,M,M,10.0,11.0,21.0,4.0,10.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,3,3,3,2.0,-1.0
13,H,1,0,D,M,M,L,M,M,8.0,20.0,15.0,2.0,6.0,0.0,5.0,5.0,2.0,3.0,0.0,1.0,1,1,-17,0.0,-2.0
14,H,3,1,W,M,M,D,M,M,13.0,21.0,18.0,3.0,12.0,3.0,11.0,7.0,2.0,1.0,0.0,0.0,2,2,-14,2.0,0.0
