,HTP,ATP,HTGD,ATGD,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,DiffFormPts,DiffPts,DiffLP,FTR
0,0,0,0.0,0.0,14.0,16.0,3.0,13.0,2.0,6.0,7.0,8.0,0.0,2.0,0.0,0.0,0,0,8,D
1,0,0,0.0,0.0,15.0,14.0,10.0,12.0,5.0,5.0,8.0,6.0,3.0,1.0,0.0,0.0,0,0,9,A
2,0,0,0.0,0.0,12.0,13.0,15.0,7.0,7.0,4.0,6.0,6.0,1.0,2.0,0.0,0.0,0,0,-6,D
3,0,0,0.0,0.0,13.0,11.0,15.0,13.0,8.0,3.0,3.0,6.0,2.0,3.0,0.0,0.0,0,0,-4,D
4,0,0,0.0,0.0,17.0,11.0,4.0,16.0,2.0,7.0,5.0,0.0,2.0,3.0,1.0,0.0,0,0,11,D
5,0,0,0.0,0.0,13.0,23.0,11.0,11.0,7.0,6.0,7.0,2.0,0.0,2.0,0.0,0.0,0,0,12,A
6,0,0,0.0,0.0,15.0,17.0,12.0,14.0,8.0,4.0,5.0,5.0,2.0,0.0,0.0,1.0,0,0,7,A
7,0,0,0.0,0.0,11.0,14.0,13.0,11.0,5.0,5.0,2.0,6.0,0.0,1.0,0.0,1.0,0,0,3,H
8,0,0,0.0,0.0,15.0,17.0,15.0,2.0,12.0,1.0,8.0,3.0,0.0,1.0,0.0,1.0,0,0,-3,H
9,0,0,0.0,0.0,14.0,7.0,12.0,20.0,5.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,0,0,9,A
10,1,1,0.0,0.0,7.0,12.0,9.0,9.0,2.0,6.0,9.0,4.0,3.0,1.0,0.0,0.0,0,0,3,A
11,0,1,-2.0,0.0,26.0,14.0,16.0,8.0,9.0,4.0,8.0,1.0,2.0,2.0,0.0,0.0,-1,-1,-6,H
12,3,0,2.0,-1.0,10.0,11.0,21.0,4.0,10.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,3,3,3,H
13,1,0,0.0,-2.0,8.0,20.0,15.0,2.0,6.0,0.0,5.0,5.0,2.0,3.0,0.0,1.0,1,1,-17,H
14,3,1,2.0,0.0,13.0,21.0,18.0,3.0,12.0,3.0,11.0,7.0,2.0,1.0,0.0,0.0,2,2,-14,H
15,0,3,-2.0,2.0,9.0,11.0,14.0,6.0,6.0,1.0,10.0,2.0,1.0,1.0,0.0,1.0,-3,-3,-2,D
16,3,1,2.0,0.0,16.0,10.0,18.0,12.0,8.0,3.0,5.0,6.0,3.0,1.0,0.0,0.0,2,2,-9,H
17,1,0,0.0,-2.0,21.0,19.0,6.0,10.0,2.0,2.0,3.0,3.0,4.0,3.0,0.0,0.0,1,1,2,H
18,1,0,0.0,-2.0,10.0,13.0,16.0,3.0,6.0,1.0,8.0,3.0,0.0,1.0,0.0,0.0,1,1,-3,A
19,3,3,1.0,2.0,17.0,21.0,9.0,9.0,6.0,3.0,3.0,7.0,2.0,3.0,0.0,0.0,0,0,-3,H
20,1,1,-1.0,-2.0,14.0,15.0,14.0,8.0,8.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,0,4,A
21,0,1,-3.0,-1.0,12.0,10.0,20.0,7.0,11.0,3.0,13.0,4.0,3.0,1.0,0.0,1.0,-1,-1,1,D
22,0,4,-3.0,1.0,10.0,10.0,15.0,12.0,10.0,7.0,5.0,3.0,1.0,2.0,0.0,0.0,-4,-4,5,A
23,3,1,1.0,-1.0,16.0,11.0,20.0,8.0,14.0,3.0,6.0,7.0,5.0,2.0,0.0,0.0,2,2,-8,H
24,3,6,-1.0,4.0,15.0,12.0,11.0,1.0,7.0,1.0,7.0,0.0,2.0,2.0,1.0,0.0,-3,-3,1,D
25,1,1,-1.0,-2.0,12.0,17.0,14.0,7.0,6.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0,0,1,H
26,6,4,2.0,1.0,10.0,7.0,11.0,0.0,8.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,2,2,-18,H
27,1,3,-1.0,-1.0,13.0,16.0,10.0,9.0,3.0,2.0,4.0,11.0,2.0,2.0,0.0,0.0,-2,-2,10,H
28,1,3,-1.0,-1.0,19.0,25.0,9.0,6.0,4.0,2.0,6.0,2.0,1.0,2.0,0.0,1.0,-2,-2,1,H
29,4,0,1.0,-3.0,13.0,17.0,16.0,7.0,9.0,2.0,12.0,3.0,1.0,2.0,0.0,0.0,4,4,-2,H
30,7,9,4.0,6.0,16.0,12.0,11.0,13.0,6.0,7.0,2.0,5.0,3.0,2.0,1.0,0.0,-2,-2,4,A
31,4,1,-3.0,-4.0,11.0,24.0,15.0,8.0,8.0,7.0,3.0,2.0,1.0,3.0,0.0,0.0,3,3,1,A
32,4,4,1.0,1.0,13.0,16.0,13.0,10.0,6.0,6.0,7.0,7.0,1.0,4.0,0.0,0.0,0,0,1,A
33,3,0,-1.0,-4.0,11.0,13.0,11.0,9.0,5.0,7.0,0.0,6.0,3.0,3.0,0.0,0.0,3,3,-10,H
34,4,9,1.0,6.0,18.0,15.0,10.0,12.0,6.0,8.0,6.0,1.0,2.0,1.0,0.0,0.0,-5,-5,1,A
35,1,9,-4.0,5.0,26.0,16.0,9.0,11.0,4.0,5.0,5.0,3.0,1.0,2.0,0.0,0.0,-8,-8,5,A
36,1,9,-4.0,6.0,9.0,10.0,18.0,8.0,5.0,4.0,13.0,4.0,0.0,2.0,0.0,0.0,-8,-8,5,A
37,9,0,6.0,-4.0,14.0,10.0,9.0,2.0,6.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,9,9,-19,H
38,3,1,-2.0,-3.0,10.0,12.0,11.0,12.0,6.0,8.0,11.0,6.0,2.0,1.0,0.0,0.0,2,2,-6,A
39,9,7,5.0,2.0,12.0,18.0,7.0,5.0,2.0,3.0,3.0,5.0,1.0,4.0,0.0,0.0,2,2,-13,D
40,4,6,-2.0,3.0,17.0,16.0,6.0,13.0,5.0,8.0,6.0,7.0,3.0,4.0,0.0,0.0,-2,-2,10,H
41,1,4,-6.0,-3.0,19.0,16.0,15.0,13.0,10.0,8.0,10.0,8.0,4.0,1.0,1.0,0.0,-3,-3,-5,D
42,7,6,2.0,1.0,16.0,13.0,10.0,11.0,7.0,6.0,4.0,4.0,1.0,1.0,0.0,0.0,1,1,2,D
43,4,6,-4.0,0.0,19.0,15.0,10.0,9.0,5.0,4.0,5.0,0.0,3.0,1.0,0.0,0.0,-2,-2,9,A
44,7,4,2.0,-2.0,18.0,17.0,12.0,7.0,6.0,3.0,4.0,4.0,1.0,2.0,0.0,0.0,3,3,2,D
45,7,5,5.0,0.0,15.0,12.0,14.0,14.0,9.0,8.0,4.0,11.0,0.0,1.0,0.0,0.0,2,2,-7,H
46,5,7,0.0,2.0,14.0,14.0,13.0,13.0,6.0,7.0,4.0,3.0,1.0,2.0,0.0,0.0,-2,-2,11,D
47,12,12,7.0,8.0,11.0,10.0,11.0,16.0,4.0,11.0,2.0,7.0,0.0,2.0,0.0,0.0,0,0,12,A
48,4,7,-3.0,5.0,11.0,14.0,9.0,10.0,6.0,3.0,4.0,6.0,2.0,1.0,0.0,0.0,-3,-3,3,A
49,1,4,-4.0,-3.0,16.0,14.0,14.0,3.0,9.0,2.0,7.0,3.0,2.0,0.0,0.0,1.0,-3,-3,-1,D
50,0,4,-7.0,-5.0,19.0,11.0,11.0,13.0,6.0,6.0,1.0,9.0,0.0,3.0,0.0,0.0,-4,-4,1,D
51,5,2,-2.0,-6.0,14.0,19.0,17.0,4.0,10.0,3.0,7.0,2.0,1.0,5.0,0.0,1.0,3,3,-1,A
52,7,11,1.0,5.0,24.0,15.0,9.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,-4,-4,1,D
53,11,8,3.0,2.0,14.0,16.0,17.0,5.0,8.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,3,3,7,A
54,7,7,0.0,-1.0,11.0,16.0,11.0,10.0,4.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,0,0,-4,D
55,9,3,5.0,-5.0,13.0,19.0,11.0,4.0,4.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0,6,6,-7,H
56,4,7,-4.0,1.0,14.0,14.0,4.0,14.0,4.0,6.0,3.0,7.0,2.0,3.0,1.0,0.0,-3,-3,15,D
57,8,4,2.0,-3.0,9.0,6.0,11.0,6.0,2.0,4.0,7.0,3.0,2.0,2.0,0.0,0.0,4,4,-9,H
58,15,5,10.0,-4.0,8.0,17.0,18.0,3.0,6.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,10,10,-15,H
59,3,7,-5.0,0.0,17.0,21.0,14.0,11.0,7.0,3.0,11.0,3.0,2.0,1.0,0.0,0.0,-4,-4,1,A
60,11,5,4.0,-5.0,13.0,15.0,27.0,10.0,8.0,10.0,7.0,1.0,1.0,3.0,0.0,0.0,3,6,-4,A
