,Unnamed: 0,HomeTeam,AwayTeam,FTR
0,0,Brentford,Arsenal,A
1,1,Man United,Leeds,H
2,2,Burnley,Brighton,A
3,3,Chelsea,Crystal Palace,H
4,4,Everton,Southampton,D
5,5,Leicester,Wolves,D
6,6,Watford,Aston Villa,D
7,7,Norwich,Liverpool,A
8,8,Newcastle,West Ham,A
9,9,Tottenham,Man City,A
10,10,Liverpool,Burnley,H
11,11,Aston Villa,Newcastle,D
12,12,Crystal Palace,Brentford,A
13,13,Leeds,Everton,A
14,14,Man City,Norwich,H
15,15,Brighton,Watford,D
16,16,Southampton,Man United,A
17,17,Wolves,Tottenham,D
18,18,Arsenal,Chelsea,A
19,19,West Ham,Leicester,H
20,20,Man City,Arsenal,H
21,21,Aston Villa,Brentford,D
22,22,Brighton,Everton,D
23,23,Newcastle,Southampton,A
24,24,Norwich,Leicester,D
25,25,West Ham,Crystal Palace,H
26,26,Liverpool,Chelsea,H
27,27,Burnley,Leeds,D
28,28,Tottenham,Watford,H
29,29,Wolves,Man United,D
30,30,Crystal Palace,Tottenham,H
31,31,Arsenal,Norwich,H
32,32,Brentford,Brighton,D
33,33,Leicester,Man City,A
34,34,Man United,Newcastle,H
35,35,Southampton,West Ham,D
36,36,Watford,Wolves,D
37,37,Chelsea,Aston Villa,D
38,38,Leeds,Liverpool,A
39,39,Everton,Burnley,H
40,40,Newcastle,Leeds,A
41,41,Wolves,Brentford,H
42,42,Burnley,Arsenal,D
43,43,Liverpool,Crystal Palace,H
44,44,Man City,Southampton,H
45,45,Norwich,Watford,A
46,46,Aston Villa,Everton,D
47,47,Brighton,Leicester,D
48,48,West Ham,Man United,A
49,49,Tottenham,Chelsea,A
50,50,Chelsea,Man City,D
51,51,Man United,Aston Villa,H
52,52,Everton,Norwich,H
53,53,Leeds,West Ham,A
54,54,Leicester,Burnley,H
55,55,Watford,Newcastle,D
56,56,Brentford,Liverpool,A
57,57,Southampton,Wolves,H
58,58,Arsenal,Tottenham,D
59,59,Crystal Palace,Brighton,D
60,60,Man United,Everton,D
61,61,Burnley,Norwich,D
62,62,Chelsea,Southampton,H
63,63,Leeds,Watford,D
