,HomeTeam,AwayTeam
0,Brentford,Arsenal
1,Man United,Leeds
2,Burnley,Brighton
3,Chelsea,Crystal Palace
4,Everton,Southampton
5,Leicester,Wolves
6,Watford,Aston Villa
7,Norwich,Liverpool
8,Newcastle,West Ham
9,Tottenham,Man City
10,Liverpool,Burnley
11,Aston Villa,Newcastle
12,Crystal Palace,Brentford
13,Leeds,Everton
14,Man City,Norwich
15,Brighton,Watford
16,Southampton,Man United
17,Wolves,Tottenham
18,Arsenal,Chelsea
19,West Ham,Leicester
20,Man City,Arsenal
21,Aston Villa,Brentford
22,Brighton,Everton
23,Newcastle,Southampton
24,Norwich,Leicester
25,West Ham,Crystal Palace
26,Liverpool,Chelsea
27,Burnley,Leeds
28,Tottenham,Watford
29,Wolves,Man United
30,Crystal Palace,Tottenham
31,Arsenal,Norwich
32,Brentford,Brighton
33,Leicester,Man City
34,Man United,Newcastle
35,Southampton,West Ham
36,Watford,Wolves
37,Chelsea,Aston Villa
38,Leeds,Liverpool
39,Everton,Burnley
40,Newcastle,Leeds
41,Wolves,Brentford
42,Burnley,Arsenal
43,Liverpool,Crystal Palace
44,Man City,Southampton
45,Norwich,Watford
46,Aston Villa,Everton
47,Brighton,Leicester
48,West Ham,Man United
49,Tottenham,Chelsea
50,Chelsea,Man City
51,Man United,Aston Villa
52,Everton,Norwich
53,Leeds,West Ham
54,Leicester,Burnley
55,Watford,Newcastle
56,Brentford,Liverpool
57,Southampton,Wolves
58,Arsenal,Tottenham
59,Crystal Palace,Brighton
60,Man United,Everton
61,Burnley,Norwich
62,Chelsea,Southampton
63,Leeds,Watford
64,Wolves,Newcastle
65,Brighton,Arsenal
66,Crystal Palace,Leicester
67,Tottenham,Aston Villa
68,West Ham,Brentford
69,Liverpool,Man City
70,Watford,Liverpool
71,Aston Villa,Wolves
72,Leicester,Man United
73,Man City,Burnley
74,Norwich,Brighton
75,Southampton,Leeds
76,Brentford,Chelsea
77,Everton,West Ham
78,Newcastle,Tottenham
79,Arsenal,Crystal Palace
80,Arsenal,Aston Villa
81,Chelsea,Norwich
82,Crystal Palace,Newcastle
83,Everton,Watford
84,Leeds,Wolves
85,Southampton,Burnley
86,Brighton,Man City
